name,description,price,price2,image_url,category
ABRILLANTADOR DE LLANTAS CLEAN TEC 1 LT,Descripcion del producto,84.24,0.00,public/images/cleantec-logo.png,Para Autos
ABRILLANTADOR EN GALON 3.75,Descripcion del producto,362.88,0.00,public/images/cleantec-logo.png,Para Autos
ABRILLANTADOR EN GALON CLEAN TEC,Descripcion del producto,375.73,0.00,public/images/cleantec-logo.png,Para Autos
ABRILLANTADOR DE INTERIORES,Descripcion del producto,102.06,0.00,public/images/cleantec-logo.png,Para Autos
ACIDO MURIATICO EN GALON,Descripcion del producto,145.15,0.00,public/images/cleantec-logo.png,Desinfectante
ACIDO MURIATICO SULTAN 900ML,Descripcion del producto,34.56,32.07,public/images/cleantec-logo.png,Desinfectante
ACIDO TIBOR PURO,Descripcion del producto,"4,816.38",0.00,public/images/cleantec-logo.png,Desinfectante
AGUA PURIFICADA 40/500,Descripcion del producto,136.31,0.00,public/images/cleantec-logo.png,Otros
AJAX LIQUIDO LIMON 5LT,Descripcion del producto,244.90,227.40,public/images/cleantec-logo.png,Limpieza
APLICADOR MULTIUSOS 2 PIEZAS,Descripcion del producto,19.66,0.00,public/images/cleantec-logo.png,Otros
ARIEL BLACK 8.5L,Descripcion del producto,375.30,0.00,public/images/cleantec-logo.png,Detergente
ARIEL PODS 3/1,Descripcion del producto,466.79,0.00,public/images/cleantec-logo.png,Detergente
ARIEL VIVID 8.5L,Descripcion del producto,335.34,0.00,public/images/cleantec-logo.png,Detergente
AROMATIZANTE AIR WICK,Descripcion del producto,485.52,450.84,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE AIR WICK,Descripcion del producto,460.00,450.36,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE AIR WICK COCONUT BERRIES,Descripcion del producto,485.03,0.00,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE AIR WICK DURAZNO/MANGO,Descripcion del producto,447.96,0.00,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE AIR WICK FLORES HAWA,Descripcion del producto,455.75,450.84,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE AIR WICK PANQUE NAVIDEÑO,Descripcion del producto,460.08,388.80,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE AMBIENTAL,Descripcion del producto,440.64,0.00,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE ARQUIM 500ML DARK,Descripcion del producto,196.56,182.52,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE ARQUIM BOUQUET 500ML,Descripcion del producto,213.84,199.80,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE ARQUIM CARRO NUEVO,Descripcion del producto,196.56,182.52,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE ARQUIM CEREZA,Descripcion del producto,196.56,182.52,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE ARQUIM CHICLE,Descripcion del producto,197.12,0.00,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE ARQUIM DRAKAR,Descripcion del producto,197.12,0.00,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE ARQUIM HUGO,Descripcion del producto,197.12,0.00,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE ARQUIM LIZ GARDEN,Descripcion del producto,197.12,0.00,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE ARQUIM MANZANA CANELA,Descripcion del producto,196.56,182.52,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE ARQUIM PIÑA MANGO,Descripcion del producto,197.12,0.00,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE ARQUIM TROPICAL,Descripcion del producto,197.12,0.00,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE ARQUIM VARIOS AROMAS 60ML,Descripcion del producto,50.54,0.00,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE EN AEROSOL GLADE (PERA),Descripcion del producto,64.09,62.14,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE FEBREZE HAWAIIAN ALOHA 250G,Descripcion del producto,88.80,104.94,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE FEBREZE LINEN & SKY,Descripcion del producto,105.85,104.94,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE FEBREZE OCEAN,Descripcion del producto,105.85,104.92,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE FRESH LEMON,Descripcion del producto,105.85,104.87,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE GLADE,Descripcion del producto,61.79,0.00,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE GLADE 227G,Descripcion del producto,53.71,49.86,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE GLADE MERRY CHERRY,Descripcion del producto,64.09,62.14,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE GLADE WINTER NIGTH,Descripcion del producto,64.09,62.14,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE HUELE MACHIN,Descripcion del producto,140.78,0.00,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE NICE FRESH BOUQUET,Descripcion del producto,161.46,0.00,public/images/cleantec-logo.png,Aromatizante
AROMATIZANTE NICE FRESH VARIOS AROMAS,Descripcion del producto,147.42,0.00,public/images/cleantec-logo.png,Aromatizante
